"campus","method","survey_year","site","latitude","longitude","MPA_Name","mpa_type","site_status"
"UCSC","SBTL_UPC_PISCO",2007,"MONTANA_DE_ORO",35.23323,-120.89081,"Point Buchon SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2007,"PINOS",36.640454,-121.928734,"Lovers Point - Julia Platt SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2007,"TENERA",35.238631,-120.895481,"Point Buchon SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2007,"MALPASO",36.465747,-121.933984,"Point Lobos SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2007,"ESTERO",35.472387,-121.029631,"White Rock SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2007,"HARMONY",35.49641,-121.057808,"White Rock SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2007,"COOPER",36.263146,-121.856608,"Point Sur SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2007,"FALSE_SUR",36.277556,-121.886822,"Point Sur SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2007,"ANDREW_MOLERA_DC",36.276089,-121.873038,"Point Sur SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2007,"ANDREW_MOLERA_UC",36.277685,-121.875988,"Point Sur SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2007,"BUCHON",35.244079,-120.901098,"Point Buchon SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2007,"CROWBAR",35.226163,-120.881427,"Point Buchon SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2007,"SOBERANES",36.445343,-121.929144,"Point Lobos SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2007,"BIXBY",36.368468,-121.907499,"Point Lobos SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2007,"LITTLE_IRISH_UC",35.18421,-120.825084,"Point Buchon SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2007,"LITTLE_IRISH_DC",35.175931,-120.812501,"Point Buchon SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2007,"BIG_CREEK_DC",36.069079,-121.605115,"Big Creek SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2007,"BIG_CREEK_UC",36.069152,-121.60804,"Big Creek SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2007,"GREEN_PEAK",35.190104,-120.830687,"Point Buchon SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2007,"LITTLE_IRISH_CEN",35.178059,-120.817733,"Point Buchon SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"SPANISH_BAY_DC",36.616662,-121.954606,"Asilomar SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"SPANISH_BAY_UC",36.618809,-121.953836,"Asilomar SMR","SMR","mpa"
